data,rodada,mandante,visitante,gols_mandante,gols_visitante,status
2025-06-12T22:30:00Z,12,Fortaleza EC,Santos FC,2,3,FINISHED
2025-06-12T23:00:00Z,12,Grêmio FBPA,SC Corinthians Paulista,1,1,FINISHED
2025-06-13T00:30:00Z,12,São Paulo FC,CR Vasco da Gama,1,3,FINISHED
2025-06-13T00:30:00Z,12,CA Mineiro,SC Internacional,2,0,FINISHED
2025-07-12T19:30:00Z,13,CR Flamengo,São Paulo FC,2,0,FINISHED
2025-07-12T19:30:00Z,13,SC Internacional,EC Vitória,1,0,FINISHED
2025-07-12T21:30:00Z,13,CR Vasco da Gama,Botafogo FR,0,2,FINISHED
2025-07-13T00:00:00Z,13,EC Bahia,CA Mineiro,2,1,FINISHED
2025-07-13T22:00:00Z,13,SC Corinthians Paulista,RB Bragantino,1,2,FINISHED
2025-07-13T23:30:00Z,13,Cruzeiro EC,Grêmio FBPA,4,1,FINISHED
2025-07-13T23:30:00Z,13,Fortaleza EC,Ceará SC,0,1,FINISHED
2025-07-14T23:00:00Z,13,EC Juventude,SC Recife,2,0,FINISHED
2025-07-16T22:00:00Z,14,SE Palmeiras,Mirassol FC,1,1,FINISHED
2025-07-16T22:30:00Z,14,Ceará SC,SC Corinthians Paulista,0,1,FINISHED
2025-07-16T23:00:00Z,14,Santos FC,CR Flamengo,1,0,FINISHED
2025-07-17T00:30:00Z,14,Botafogo FR,EC Vitória,0,0,FINISHED
2025-07-17T00:30:00Z,14,RB Bragantino,São Paulo FC,2,2,FINISHED
2025-07-17T22:30:00Z,14,Fluminense FC,Cruzeiro EC,0,2,FINISHED
2025-07-19T19:00:00Z,15,Fortaleza EC,EC Bahia,1,1,FINISHED
2025-07-19T20:30:00Z,15,CR Vasco da Gama,Grêmio FBPA,1,1,FINISHED
2025-07-19T21:30:00Z,15,Mirassol FC,Santos FC,3,0,FINISHED
2025-07-20T00:00:00Z,15,São Paulo FC,SC Corinthians Paulista,2,0,FINISHED
2025-07-20T14:00:00Z,15,SC Internacional,Ceará SC,1,0,FINISHED
2025-07-20T19:00:00Z,15,Cruzeiro EC,EC Juventude,4,0,FINISHED
2025-07-20T19:00:00Z,15,EC Vitória,RB Bragantino,1,0,FINISHED
2025-07-20T20:30:00Z,15,SE Palmeiras,CA Mineiro,3,2,FINISHED
2025-07-20T20:30:00Z,15,SC Recife,Botafogo FR,0,1,FINISHED
2025-07-20T22:30:00Z,15,CR Flamengo,Fluminense FC,1,0,FINISHED
2025-07-23T22:00:00Z,16,Fluminense FC,SE Palmeiras,1,2,FINISHED
2025-07-23T22:00:00Z,16,Ceará SC,Mirassol FC,0,2,FINISHED
2025-07-23T22:30:00Z,16,SC Corinthians Paulista,Cruzeiro EC,0,0,FINISHED
2025-07-24T00:30:00Z,16,Santos FC,SC Internacional,1,2,FINISHED
2025-07-24T00:30:00Z,16,RB Bragantino,CR Flamengo,1,2,FINISHED
2025-07-24T00:30:00Z,16,EC Vitória,SC Recife,2,2,FINISHED
2025-07-24T22:00:00Z,16,EC Juventude,São Paulo FC,0,1,FINISHED
2025-07-26T21:30:00Z,17,Botafogo FR,SC Corinthians Paulista,1,1,FINISHED
2025-07-26T21:30:00Z,17,Mirassol FC,EC Vitória,1,1,FINISHED
